host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a day,100.00%,N/A,f,f,Entire loft,Entire home/apt,3,1434,1,1125,4.95,4.71,4.95,5,4.95,5,4.86,f,0.19
N/A,N/A,N/A,f,t,Entire guest suite,Entire home/apt,2,830,3,1125,4.85,4.9,4.88,4.93,5,4.95,4.84,f,0.54
within an hour,100.00%,90.00%,t,t,Entire rental unit,Entire home/apt,6,1469,24,1125,4.57,4.82,4.71,4.92,4.92,4.58,4.71,f,0.31
N/A,N/A,N/A,f,t,Entire villa,Entire home/apt,2,3658,1,7,,,,,,,,f,
within an hour,100.00%,86.00%,f,t,Entire home,Entire home/apt,14,18000,1,365,4.58,4.56,4.7,4.87,4.78,4.98,4.48,f,0.46
within a few hours,100.00%,70.00%,f,t,Entire loft,Entire home/apt,2,2561,2,30,4.87,4.9,4.71,4.91,4.85,5,4.83,f,0.7
within an hour,100.00%,95.00%,t,t,Entire condo,Entire home/apt,2,650,3,250,4.87,4.95,4.88,4.98,4.94,4.75,4.79,f,0.58
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,1089,2,1125,4.92,4.89,4.9,4.92,4.95,4.94,4.87,f,0.94
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,943,2,60,4.72,4.75,4.75,4.63,4.75,4.88,4.81,f,0.15
within a few hours,92.00%,58.00%,t,t,Entire home,Entire home/apt,16,2561,1,90,4.73,4.74,4.69,4.88,4.88,4.34,4.75,f,0.95
within an hour,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,3,1881,3,1125,4.93,4.94,4.96,5,4.99,4.95,4.91,f,2.63
within a day,75.00%,73.00%,f,t,Entire rental unit,Entire home/apt,4,2088,4,30,4.89,4.8,4.73,4.93,4.91,4.98,4.91,f,0.34
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,402,1,1125,4.53,4.74,4.69,4.83,4.79,4.62,4.61,t,5.61
within a day,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,1097,7,180,4.9,4.9,4.95,4.95,4.98,4.96,4.92,f,0.84
within an hour,90.00%,87.00%,t,t,Room in serviced apartment,Hotel room,2,1006,2,730,4.83,4.87,4.83,5,5,4.83,4.78,t,0.18
within an hour,90.00%,87.00%,t,t,Entire serviced apartment,Entire home/apt,2,998,2,730,4.29,4.14,4.29,4.43,4.43,4.43,4.29,f,0.06
N/A,N/A,0.00%,f,t,Private room in rental unit,Private room,2,726,1,14,4.75,4.6,4.2,5,4.6,4.8,4.6,f,0.04
a few days or more,0.00%,N/A,f,t,Private room in home,Private room,1,375,2,1125,4.4,5,4.6,5,4.8,4.4,4.4,f,0.04
N/A,N/A,0.00%,f,t,Private room in rental unit,Private room,2,2835,1,1125,,,,,,,,f,
within an hour,100.00%,99.00%,t,t,Entire loft,Entire home/apt,2,3413,2,365,5,5,5,5,4.78,4.89,4.78,f,0.12
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,2,1200,2,1125,4.76,4.84,4.84,4.96,4.96,4.89,4.68,f,0.77
within a few hours,100.00%,N/A,f,f,Private room,Private room,2,1244,1,730,,,,,,,,f,
within a few hours,100.00%,40.00%,f,t,Tiny home,Entire home/apt,3,817,3,1125,4.91,5,4.91,5,5,5,4.82,f,0.1
N/A,N/A,N/A,f,t,Entire guest suite,Entire home/apt,3,950,3,90,4.58,4.72,4.67,4.81,4.81,4.86,4.44,f,0.33
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,1,549,1,90,5,5,5,5,5,5,5,f,0.04
within a few hours,100.00%,40.00%,f,t,Entire loft,Entire home/apt,2,672,3,1125,4.89,4.89,4.78,5,5,5,4.78,f,0.08
within an hour,91.00%,95.00%,t,t,Entire rental unit,Entire home/apt,6,2049,2,180,4.91,4.94,4.92,4.96,4.96,4.87,4.95,f,1.93
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,16,3449,2,365,4.88,4.91,4.86,4.93,4.92,4.71,4.91,f,2.09
within a day,50.00%,33.00%,f,t,Private room in townhouse,Private room,2,1543,2,7,4.97,4.94,4.97,4.98,4.96,4.96,4.95,f,1.41
within an hour,100.00%,77.00%,t,t,Private room in rental unit,Private room,2,302,4,1125,4.82,4.86,4.59,4.98,4.94,4.98,4.78,f,0.82
N/A,N/A,100.00%,f,t,Private room in home,Private room,4,500,2,365,4.96,4.93,4.93,4.93,4.93,4.7,4.85,f,0.25
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,1050,5,1125,4.79,4.92,4.63,4.97,5,4.97,4.76,f,0.35
within a few hours,95.00%,98.00%,f,t,Entire condo,Entire home/apt,4,672,2,90,4.85,4.94,4.8,4.91,4.94,4.66,4.77,f,0.53
N/A,N/A,N/A,f,t,Entire loft,Entire home/apt,5,1434,2,1125,4.62,4.72,4.68,4.69,4.68,4.93,4.64,f,3.3
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,6,1310,4,360,4.43,4.64,4.47,4.92,4.68,4.43,4.28,f,0.46
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1037,3,365,4.77,4.86,4.68,4.89,4.86,4.89,4.7,f,0.33
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,4,794,2,1125,4.7,4.7,4.4,4.85,4.9,4.85,4.8,t,0.18
within a few hours,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,50000,14,365,4.56,4.65,4.65,4.83,4.88,4.92,4.5,f,0.73
within a few hours,100.00%,100.00%,t,t,Entire loft,Entire home/apt,3,5000,14,365,4.67,4.58,4.58,4.83,4.79,5,4.63,f,0.21
within a few hours,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,1900,5,1125,4.67,4.66,4.81,4.87,5,4.96,4.67,f,0.49
within a few hours,100.00%,75.00%,f,t,Entire rental unit,Entire home/apt,3,870,2,365,4.58,4.73,4.65,4.78,4.81,4.85,4.59,f,1.24
a few days or more,33.00%,N/A,f,t,Entire rental unit,Entire home/apt,2,850,180,365,4.83,4.72,4.72,5,4.89,4.94,4.59,f,0.16
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,817,2,1125,4.76,4.96,4.84,4.96,4.96,4.96,4.88,f,0.33
within a few hours,92.00%,58.00%,t,t,Private room in home,Private room,2,402,1,1125,4.73,4.72,4.67,4.9,4.92,4.46,4.8,f,1.02
within a few hours,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2800,30,120,4.9,4.98,4.9,5,5,4.88,4.98,f,0.42
N/A,N/A,33.00%,f,t,Private room in rental unit,Private room,2,480,2,1125,4.78,5,5,5,5,4.89,4.78,f,0.07
N/A,N/A,0.00%,f,t,Entire rental unit,Entire home/apt,2,1200,3,180,4.58,4.59,4.31,4.77,4.85,4.96,4.42,f,0.21
within an hour,100.00%,97.00%,t,t,Entire rental unit,Entire home/apt,2,788,7,1125,4.88,4.93,4.86,4.98,4.98,4.95,4.9,f,0.43
within an hour,100.00%,94.00%,t,t,Entire home,Entire home/apt,6,4714,15,120,4.75,4.75,4.25,5,4.75,4.5,4.25,f,0.05
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,3,1017,1,90,4.84,4.89,4.85,4.94,4.95,4.88,4.81,f,2.4
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,2,900,1,90,4.88,4.84,4.88,4.96,4.93,4.89,4.84,f,1.79
within a few hours,100.00%,81.00%,t,t,Entire rental unit,Entire home/apt,1,545,3,30,4.88,4.94,4.96,4.97,4.95,4.99,4.94,f,0.72
within a day,100.00%,0.00%,f,t,Entire rental unit,Entire home/apt,6,2269,2,1125,4.83,4.92,4.84,4.91,4.93,4.97,4.81,f,1.09
within an hour,90.00%,87.00%,t,t,Room in serviced apartment,Hotel room,2,1006,2,730,4.97,4.97,4.94,5,5,4.97,4.97,t,0.25
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1880,7,1125,4.88,4.88,4.91,4.91,4.97,4.9,4.86,f,2.4
within an hour,90.00%,87.00%,t,t,Room in serviced apartment,Hotel room,2,908,2,730,4.98,4.98,4.92,5,5,5,4.9,t,0.46
within an hour,90.00%,87.00%,t,t,Entire serviced apartment,Entire home/apt,2,908,2,730,4.91,4.96,4.91,4.91,4.91,4.96,4.83,t,0.19
within an hour,100.00%,100.00%,f,t,Private room in rental unit,Private room,2,591,5,1825,4.16,4.21,4.32,4.61,4.32,4.68,4.21,t,0.15
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,14,3014,2,365,4.91,4.91,4.89,4.93,4.94,4.78,4.91,f,2.32
within a few hours,100.00%,89.00%,t,t,Private room in rental unit,Private room,2,726,15,1125,4.95,4.95,4.9,4.9,4.95,5,4.9,f,0.18
within a few hours,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,3,1154,5,1125,4.76,4.87,4.76,4.75,4.82,4.94,4.81,f,2.59
N/A,N/A,N/A,f,f,Entire rental unit,Entire home/apt,2,1815,7,365,,,,,,,,f,
within an hour,90.00%,87.00%,t,t,Room in serviced apartment,Hotel room,2,908,2,730,4.95,5,4.95,5,5,4.95,4.95,t,0.25
within a few hours,92.00%,58.00%,t,t,Entire home,Entire home/apt,16,2561,1,90,4.79,4.79,4.8,4.91,4.94,4.43,4.79,f,1.91
within a few hours,100.00%,60.00%,f,t,Entire rental unit,Entire home/apt,4,1000,15,1125,4.55,4.68,4.56,4.89,4.82,4.9,4.63,f,2.64
within an hour,100.00%,91.00%,t,t,Entire rental unit,Entire home/apt,2,1532,3,48,4.93,4.91,4.94,4.91,4.96,4.92,4.89,f,0.44
within an hour,100.00%,86.00%,f,t,Room in serviced apartment,Hotel room,3,3162,1,365,4.71,4.71,5,5,5,5,4.86,t,0.07
within an hour,100.00%,100.00%,f,t,Entire guest suite,Entire home/apt,2,726,1,1125,4.59,4.66,4.65,4.86,4.87,4.95,4.7,f,3.32
N/A,N/A,0.00%,f,f,Private room in rental unit,Private room,1,545,2,14,,,,,,,,f,
within an hour,100.00%,92.00%,f,t,Private room in rental unit,Private room,2,699,7,1125,4.75,4.73,4.87,4.89,4.92,4.94,4.77,f,2.01
N/A,N/A,0.00%,f,f,Entire rental unit,Entire home/apt,4,1362,3,180,4.78,4.87,4.88,4.89,4.73,4.9,4.8,f,0.89
within a few hours,100.00%,75.00%,f,t,Entire rental unit,Entire home/apt,3,1200,2,1125,4.65,4.74,4.6,4.77,4.8,4.85,4.64,f,1.41
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,4,796,2,1125,4.73,4.81,4.71,4.83,4.92,4.44,4.73,t,1.22
within a few hours,100.00%,85.00%,f,t,Entire rental unit,Entire home/apt,2,2269,1,1125,5,5,5,5,5,5,5,f,0.01
within an hour,100.00%,100.00%,t,t,Tiny home,Entire home/apt,3,1556,3,1125,4.83,4.93,4.92,4.9,4.93,4.93,4.79,f,4.04
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,6,545,3,1125,4.76,4.87,4.73,4.91,4.91,4.44,4.73,f,0.38
within a day,100.00%,0.00%,f,f,Private room in condo,Private room,1,457,4,10,4.78,4.79,4.85,4.86,4.86,4.93,4.78,f,0.96
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,5,1448,2,1125,4.82,4.85,4.82,4.84,4.94,4.93,4.88,f,2.49
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,327,2,160,4.8,4.81,4.83,4.87,4.93,4.74,4.84,f,1.66
within an hour,90.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1362,2,1125,4.81,4.91,4.92,4.87,4.69,4.96,4.87,f,3.56
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,6,1949,2,200,4.84,4.96,4.96,4.97,4.87,4.97,4.91,f,0.6
within an hour,100.00%,93.00%,f,t,Private room in rental unit,Private room,2,713,1,1125,4.84,4.89,4.72,4.91,4.94,4.87,4.75,t,1.42
within an hour,100.00%,71.00%,f,t,Entire home,Entire home/apt,6,6354,7,90,5,5,5,5,5,4.95,4.68,f,0.17
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,1,327,2,200,4.96,4.92,4.9,4.88,4.94,4.94,4.86,f,0.45
within an hour,100.00%,100.00%,f,t,Private room in condo,Private room,2,529,3,31,4.87,4.87,4.8,4.91,4.93,4.89,4.81,f,1.24
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,272,2,1125,4.82,4.88,4.76,4.94,5,4.56,4.75,t,0.25
within a day,100.00%,88.00%,f,t,Private room in rental unit,Private room,1,450,1,90,4.69,4.92,4.23,4.85,4.85,4.92,4.62,f,0.12
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,2,1398,3,1125,4.81,4.9,4.84,4.91,4.94,4.91,4.81,f,2.51
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,1,1006,5,180,,,,,,,,f,
within a few hours,100.00%,100.00%,f,t,Private room in condo,Private room,1,896,2,1125,4.82,4.57,4.96,4.96,4.75,4.93,4.71,f,0.24
within a day,83.00%,86.00%,f,t,Private room in guest suite,Private room,2,1036,2,365,4.93,4.94,4.97,4.96,4.91,4.97,4.94,f,1.33
N/A,N/A,100.00%,f,t,Private room in rental unit,Private room,2,500,3,28,5,5,5,5,5,5,5,f,0.4
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,1452,2,1125,4.85,4.91,4.91,4.7,4.79,4.94,4.88,f,0.28
within a day,100.00%,88.00%,f,t,Private room in rental unit,Private room,1,400,1,120,4.82,4.71,4.75,4.63,4.88,4.88,4.82,f,0.18
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,1400,1,1125,4.88,4.93,4.88,4.95,4.98,4.99,4.87,f,3.18
within an hour,100.00%,99.00%,f,t,Entire loft,Entire home/apt,4,615,1,22,4.46,4.42,4.51,4.7,4.72,4.76,4.47,f,3.12
within a day,60.00%,46.00%,t,t,Private room in bed and breakfast,Private room,14,14143,1,14,4.69,4.56,4.73,4.78,4.84,4.98,4.47,f,0.39
within an hour,100.00%,92.00%,f,t,Private room in rental unit,Private room,1,450,1,13,4.92,4.92,4.84,4.97,4.97,4.89,4.89,f,0.37
within a few hours,100.00%,77.00%,t,t,Entire rental unit,Entire home/apt,3,1250,2,1125,4.92,4.85,4.62,4.88,4.96,4.88,4.69,f,0.24
within a day,67.00%,82.00%,t,t,Private room in rental unit,Private room,2,450,2,1125,4.76,4.89,4.91,4.8,4.71,4.76,4.82,f,0.42
within a few hours,100.00%,77.00%,t,t,Private room in rental unit,Private room,3,385,2,1125,4.78,5,5,5,4.89,4.89,5,f,0.1
within a day,60.00%,0.00%,f,t,Private room in rental unit,Private room,2,700,1,7,,,,,,,,f,
within an hour,100.00%,85.00%,f,t,Private room in rental unit,Private room,2,295,4,1125,4.63,4.69,4.94,4.75,4.75,4.94,4.69,f,0.15
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,1180,3,60,4.41,4.47,4.76,4.71,4.53,4.88,4.35,f,0.15
within a day,100.00%,100.00%,t,t,Entire home,Entire home/apt,6,4481,10,21,5,5,5,5,5,5,5,f,0.05
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,1797,3,90,4.75,4.79,4.83,4.96,4.96,4.75,4.71,t,0.22
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,2,700,3,28,4.86,4.86,4.6,4.95,4.96,4.95,4.86,f,1.12
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,2,381,3,1125,4.94,5,5,4.94,5,4.56,4.81,f,0.15
within a day,100.00%,100.00%,t,t,Private room in home,Private room,2,908,5,21,4.78,4.84,4.89,4.95,4.84,4.95,4.68,f,0.18
within a few hours,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,2500,5,1125,4.77,4.82,4.77,4.9,4.95,5,4.48,f,0.17
N/A,N/A,0.00%,f,t,Private room in rental unit,Private room,2,599,3,15,4.84,4.96,4.94,4.87,4.89,4.96,4.8,f,0.65
N/A,N/A,0.00%,f,f,Private room in rental unit,Private room,1,457,1,1125,1,1,1,1,3,1,1.5,f,0.02
within an hour,100.00%,99.00%,f,t,Entire loft,Entire home/apt,5,1466,4,60,4.82,4.87,4.79,4.87,4.96,4.91,4.81,f,0.78
within an hour,100.00%,93.00%,f,t,Entire rental unit,Entire home/apt,2,2033,2,1125,4.9,4.93,4.94,4.92,4.88,4.96,4.87,f,1.97
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,1,732,3,90,5,5,5,5,5,5,5,f,0.02
within an hour,99.00%,99.00%,f,t,Entire rental unit,Entire home/apt,2,685,1,1125,4.43,4.61,4.67,4.79,4.7,4.88,4.41,f,0.84
within a day,100.00%,50.00%,f,t,Entire rental unit,Entire home/apt,4,2559,6,45,4.86,4.95,4.9,5,4.86,5,4.76,f,0.25
within a day,100.00%,100.00%,f,t,Entire condo,Entire home/apt,2,817,7,35,5,5,4.74,5,5,4.79,4.89,f,0.27
within a few hours,90.00%,64.00%,f,t,Entire rental unit,Entire home/apt,4,1071,4,1125,3.38,3.38,3.5,3.75,3.75,3.25,3.5,f,0.07
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,876,1,365,4.94,5,4.88,4.94,4.97,4.91,4.91,f,0.26
within an hour,100.00%,74.00%,f,t,Entire loft,Entire home/apt,1,1489,2,1125,4.73,4.81,4.78,4.95,4.89,4.76,4.68,f,0.39
within a few hours,100.00%,81.00%,t,t,Private room in rental unit,Private room,1,1900,7,1125,,,,,,,,f,
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,1,708,28,365,4.93,4.93,4.87,4.93,5,4.67,5,f,0.13
within an hour,100.00%,92.00%,f,t,Entire loft,Entire home/apt,2,1350,2,60,4.64,4.76,4.76,4.92,4.9,4.87,4.67,f,1.33
within a few hours,100.00%,81.00%,t,t,Entire rental unit,Entire home/apt,7,3420,3,30,4.92,4.92,4.96,5,4.83,4.88,4.88,f,0.19
within a few hours,100.00%,81.00%,t,t,Entire condo,Entire home/apt,6,5820,3,21,5,5,5,5,5,5,5,f,0.02
a few days or more,0.00%,86.00%,f,t,Private room in home,Private room,1,220,5,1125,4.8,4.83,4.77,4.89,4.88,4.51,4.79,f,0.46
within an hour,100.00%,95.00%,f,t,Entire rental unit,Entire home/apt,4,1237,5,95,4.82,4.91,4.84,4.92,4.95,4.98,4.86,t,0.75
within an hour,100.00%,93.00%,f,t,Entire rental unit,Entire home/apt,4,1947,2,1000,4.84,4.86,4.92,4.91,4.9,4.89,4.81,f,1.29
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,1,350,30,150,,,,,,,,f,
within a day,100.00%,60.00%,f,t,Entire rental unit,Entire home/apt,2,878,6,1125,4.52,4.59,4.63,4.78,4.67,4.7,4.44,f,0.34
within an hour,100.00%,100.00%,f,t,Private room in guest suite,Private room,2,550,1,1125,4.66,4.83,4.66,4.92,4.95,4.93,4.6,f,3.51
within a day,83.00%,86.00%,f,t,Private room in guest suite,Private room,2,1036,2,365,4.75,4.86,4.91,4.87,4.78,4.94,4.79,f,0.6
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,2,3089,2,1125,4.86,4.92,4.84,4.94,4.88,4.9,4.71,f,1.22
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,1271,2,30,4.98,5,5,4.99,5,5,4.94,t,1.17
within an hour,100.00%,97.00%,t,t,Entire rental unit,Entire home/apt,5,2723,30,365,4.96,4.96,5,5,4.96,5,4.91,f,0.2
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,2934,2,90,4.91,4.97,4.95,4.92,4.83,4.96,4.84,f,2.22
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,2,2814,2,1125,4.92,4.94,4.95,4.99,4.96,5,4.87,t,3.11
within an hour,100.00%,100.00%,t,t,Private room in condo,Private room,2,850,2,28,4.87,4.96,4.74,4.98,4.96,4.98,4.83,f,0.67
within a few hours,100.00%,73.00%,f,t,Private room in rental unit,Private room,1,240,7,90,4.96,4.89,4.85,4.88,4.96,4.8,4.96,f,0.29
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,400,3,1125,5,5,5,5,5,5,5,f,0.02
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,2,381,3,1125,4.88,4.88,5,4.88,4.96,4.54,4.77,f,0.22
within an hour,100.00%,86.00%,f,t,Room in serviced apartment,Hotel room,3,2808,1,365,4,5,5,5,3,5,4,t,0.02
within an hour,100.00%,91.00%,t,t,Entire rental unit,Entire home/apt,4,2941,2,48,4.95,4.97,4.94,4.98,4.95,4.98,4.92,t,1.69
within a few hours,100.00%,63.00%,f,t,Entire rental unit,Entire home/apt,3,1216,3,1125,4.6,4.76,4.79,4.97,4.67,4.87,4.6,f,0.3
N/A,N/A,0.00%,f,t,Private room in rental unit,Private room,1,250,5,1125,4.67,4.33,5,4.67,4.67,5,4.33,f,0.03
N/A,N/A,67.00%,f,t,Entire rental unit,Entire home/apt,2,420,20,150,4.58,4.69,4.17,4.83,4.67,4.67,4.42,f,0.68
N/A,N/A,N/A,f,t,Entire guesthouse,Entire home/apt,2,900,3,1125,4.76,4.84,4.79,4.92,4.87,4.94,4.69,f,0.57
N/A,N/A,100.00%,f,f,Private room in rental unit,Private room,2,566,2,1125,5,5,5,5,5,5,5,f,0.03
within a few hours,92.00%,58.00%,t,t,Entire home,Entire home/apt,16,2561,1,1125,4.83,4.78,4.75,4.94,4.97,4.48,4.8,f,1.43
within an hour,100.00%,100.00%,t,t,Private room in guesthouse,Private room,2,545,2,1125,4.9,4.78,4.8,4.98,4.98,4.73,4.8,f,0.4
within an hour,100.00%,100.00%,f,t,Private room in rental unit,Private room,2,600,5,1825,4.63,4.75,4.5,4.94,4.94,4.88,4.75,t,0.15
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,4,3068,500,1000,4.74,4.82,4.77,4.88,4.77,4.97,4.77,f,1.05
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1362,2,60,4.72,4.71,4.78,4.71,4.65,4.82,4.72,f,0.62
within an hour,100.00%,64.00%,f,t,Entire loft,Entire home/apt,2,980,4,1125,4.79,4.9,4.88,4.94,4.89,4.84,4.78,f,1.1
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,1685,3,1125,4.92,4.88,4.95,4.98,4.98,4.95,4.85,f,2.76
within a few hours,100.00%,77.00%,t,t,Private room in rental unit,Private room,1,290,2,1125,4.81,4.85,4.78,4.89,5,4.85,4.63,f,0.25
within an hour,100.00%,96.00%,t,t,Entire rental unit,Entire home/apt,4,1346,4,1125,4.76,4.78,4.78,4.93,4.97,4.88,4.72,f,0.9
within an hour,100.00%,0.00%,f,t,Private room in rental unit,Private room,1,540,5,1125,5,4.7,4.8,5,5,4.6,4.9,f,0.09
within an hour,100.00%,94.00%,t,t,Entire serviced apartment,Entire home/apt,2,2564,1,250,4.9,4.94,4.96,4.85,4.9,4.96,4.9,f,1.83
within a few hours,100.00%,0.00%,f,t,Private room in rental unit,Private room,2,366,3,365,4.83,5,4.83,4.83,4.83,4.5,4.67,f,0.05
within a day,50.00%,0.00%,f,t,Entire rental unit,Entire home/apt,2,1362,4,365,4.67,4.82,4.68,4.73,4.59,4.59,4.59,f,0.19
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,6,594,3,1125,4.7,4.42,4.7,4.88,4.94,4.61,4.73,t,0.31
within a few hours,100.00%,N/A,f,t,Entire home,Entire home/apt,5,549,21,365,4.67,4.67,4.17,4.83,4.67,4.42,4.42,f,0.12
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1109,5,1125,4.92,4.94,4.89,4.99,4.99,4.9,4.94,f,0.78
within a day,100.00%,91.00%,f,t,Private room in home,Private room,1,220,15,1125,4.5,5,4.5,5,5,5,5,f,0.03
within an hour,100.00%,100.00%,t,t,Private room in serviced apartment,Private room,2,750,1,60,4.97,4.98,4.99,4.98,4.97,4.96,4.98,f,1.72
within a few hours,100.00%,81.00%,t,t,Entire condo,Entire home/apt,4,4938,3,30,5,5,5,5,5,5,5,f,0.01
within a few hours,100.00%,81.00%,t,t,Entire condo,Entire home/apt,2,3731,3,21,5,5,5,5,4,3,4,f,0.01
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,2,914,3,30,4.77,4.85,4.73,4.94,4.91,4.76,4.83,t,0.65
within a few hours,100.00%,81.00%,t,t,Entire condo,Entire home/apt,4,5809,3,30,5,5,5,5,5,5,5,f,0.04
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,1362,2,365,4.74,4.78,4.63,4.91,4.95,4.73,4.72,t,1.47
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,1232,2,364,4.81,4.84,4.89,4.93,4.95,4.96,4.82,t,2.05
within a day,100.00%,91.00%,f,t,Private room in home,Private room,1,246,28,1125,4.75,4.88,4.94,4.94,5,5,4.75,f,0.21
N/A,N/A,0.00%,f,f,Shared room in rental unit,Shared room,2,1815,1,1125,,,,,,,,f,
within a few hours,100.00%,100.00%,t,t,Private room in guest suite,Private room,1,349,2,1125,4.91,4.89,4.92,5,4.94,4.98,4.89,f,0.69
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,1989,3,1125,4.85,4.88,4.83,4.97,4.98,4.94,4.76,t,2.27
N/A,N/A,N/A,f,t,Private room in condo,Private room,2,549,30,30,5,5,5,5,5,4.67,4.67,f,0.05
within an hour,100.00%,93.00%,f,t,Entire rental unit,Entire home/apt,2,980,3,1000,4.75,4.76,4.85,4.89,4.94,4.6,4.82,f,1.21
within an hour,100.00%,64.00%,f,t,Entire rental unit,Entire home/apt,4,800,1,1125,4.92,4.96,4.92,5,4.94,4.96,4.88,f,0.47
within an hour,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,2,1943,3,1125,4.86,4.88,4.89,4.97,4.97,4.9,4.84,f,2.71
within a day,100.00%,0.00%,f,t,Entire home,Entire home/apt,4,5999,4,21,5,5,4.91,4.95,5,5,4.95,f,0.17
a few days or more,0.00%,0.00%,f,f,Private room in rental unit,Private room,1,650,3,7,,,,,,,,f,
N/A,N/A,N/A,f,f,Private room in condo,Private room,2,1500,2,365,,,,,,,,f,
within a few hours,100.00%,75.00%,t,t,Entire rental unit,Entire home/apt,8,9059,5,1125,4.91,4.88,4.84,4.98,4.94,4.83,4.72,f,0.78
N/A,N/A,0.00%,f,t,Private room in condo,Private room,1,508,5,180,5,5,5,5,4,5,3,f,0.01
within an hour,100.00%,94.00%,t,t,Room in boutique hotel,Hotel room,2,2900,1,90,4.96,5,5,5,4.96,4.92,4.92,f,0.22
within an hour,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,3,1757,3,1125,4.92,4.91,4.91,4.99,4.99,4.94,4.87,f,2.63
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,788,3,1125,4.95,4.89,4.92,4.97,5,4.78,4.92,f,0.58
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,3,1180,1,1125,4.82,4.88,4.94,4.97,4.79,4.91,4.85,t,2.2
N/A,N/A,0.00%,f,f,Private room in rental unit,Private room,1,1171,1,1125,,,,,,,,f,
within an hour,100.00%,100.00%,f,t,Entire home,Entire home/apt,10,826,2,1125,4.48,4.5,4.51,4.77,4.76,4.59,4.48,t,0.66
