host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a few hours,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,2,797,3,1125,4.88,4.89,4.83,5,4.87,4.91,4.83,f,2.24
within an hour,100.00%,71.00%,f,t,Private room in condo,Private room,1,357,1,1125,4.8,4.6,4.8,4.8,5,4.8,4.8,f,0.11
within a few hours,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2124,6,1125,4.94,4.98,4.92,4.94,5,4.94,4.9,f,0.97
within an hour,100.00%,100.00%,f,t,Entire serviced apartment,Entire home/apt,2,950,2,1125,4.66,4.9,4.86,5,4.95,4.98,4.61,f,1.05
within an hour,100.00%,75.00%,f,t,Private room in rental unit,Private room,2,520,1,1125,4.2,4.2,5,4.2,4.2,4.6,4.2,f,0.09
within a few hours,100.00%,97.00%,f,t,Entire rental unit,Entire home/apt,2,399,3,1125,4.67,4.81,4.55,4.96,4.91,4.84,4.76,f,2.43
within an hour,100.00%,95.00%,f,t,Entire home,Entire home/apt,4,792,2,1125,4.82,4.93,4.68,4.87,4.89,4.83,4.82,f,1.83
within a day,86.00%,71.00%,f,t,Private room in home,Private room,3,399,7,365,5,5,5,5,5,5,5,f,0.04
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,493,3,1125,4.88,4.93,4.93,4.99,4.89,4.92,4.89,f,1.63
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,8,2542,1,1125,4.81,4.74,4.93,4.89,4.67,4.96,4.7,t,0.51
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,450,2,31,4.9,4.95,4.9,5,4.95,5,4.95,f,0.4
within an hour,100.00%,97.00%,f,t,Entire condo,Entire home/apt,5,1379,2,85,4.73,4.69,4.71,4.73,4.75,4.88,4.64,t,1.06
within a few hours,100.00%,0.00%,f,f,Private room in rental unit,Private room,1,350,1,1125,4.94,4.91,4.97,4.97,4.97,5,4.85,f,0.6
within a few hours,75.00%,100.00%,f,f,Private room in home,Private room,1,345,2,90,4.93,5,4.93,4.87,5,5,5,f,0.27
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,6,947,1,90,4.94,4.94,4.95,4.95,4.96,4.91,4.88,f,4.06
within a day,50.00%,98.00%,t,t,Private room in rental unit,Private room,2,466,2,30,4.88,4.87,4.8,4.93,4.92,4.92,4.88,f,2.38
N/A,N/A,50.00%,f,f,Private room in rental unit,Private room,4,400,7,30,1,1,1,1,1,1,1,f,0.12
